id,zustimmung,geschlecht,alter,fomo1,fomo2,fomo3,fomo4,fomo5,fomo6,fomo7,fomo8,fomo9,fomo10,fomo11,fomo12,fomo13,fomo14,fomo15,fomo16,fomo17,fomo18,fomo19,fomo20,fomo21,fomo22,fomo23,fomo24,fomo25,fomo26,fomo27,fomo28,fomo29,fomo30,fomo31,fomo32,fomo33,fomo34,fomo35,verfuegbarkeitserwartung,fomo10_inv,fomo24_inv,fomo29_inv,fomo30_inv,fomo32_inv,fomo
2,1,w,20,3,2,3,3,3,2,3,3,3,3,4,3,3,3,3,3,2,3,2,3,3,2,4,3,3,3,3,2,3,3,2,2,3,2,3,hoch,2,2,2,2,3,95
3,1,w,20,4,3,3,4,2,4,4,4,3,3,3,1,3,4,4,3,4,3,2,2,1,1,3,3,4,4,2,4,3,3,3,2,3,3,3,mittel,2,2,2,2,3,102
4,1,w,21,3,1,4,3,2,1,1,2,2,3,4,2,1,1,3,1,3,1,2,3,2,1,4,1,2,1,1,1,4,1,2,1,4,2,3,mittel,2,4,1,4,4,78
5,1,w,22,3,1,3,3,1,2,3,3,1,3,3,1,2,3,2,3,2,2,2,2,2,2,4,2,1,1,2,1,2,2,2,2,2,2,2,hoch,2,3,3,3,3,77
6,1,w,22,3,2,2,2,2,2,2,2,2,2,4,2,2,2,3,2,2,2,2,3,2,2,2,1,2,3,1,2,3,1,2,4,2,2,2,hoch,3,4,2,4,1,79
7,1,w,34,2,1,1,2,1,3,1,1,1,2,3,1,1,1,1,3,3,2,1,3,1,1,2,1,2,1,1,1,1,1,2,4,2,2,2,niedrig,3,4,4,4,1,65
9,1,w,20,4,3,3,3,2,2,3,4,3,2,3,2,3,3,3,2,1,3,2,3,4,3,4,4,3,3,2,2,3,2,1,1,2,1,2,niedrig,3,1,2,3,4,92
11,1,w,20,4,3,2,1,3,3,2,3,3,1,4,2,1,1,1,3,3,2,3,3,3,1,3,1,1,1,1,1,2,1,2,2,2,3,2,mittel,4,4,3,4,3,85
14,1,w,20,3,3,3,3,3,2,1,3,3,2,3,3,3,3,2,2,3,3,2,1,3,1,3,2,2,2,2,3,1,3,2,2,2,3,2,mittel,3,3,4,2,3,89
15,1,w,21,4,3,4,3,3,3,4,4,3,3,3,4,4,3,4,4,2,4,4,3,4,2,4,3,2,2,2,1,3,2,3,3,1,3,3,niedrig,2,2,2,3,2,104
17,1,w,21,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,2,2,2,1,1,1,1,1,niedrig,3,4,3,3,4,53
18,1,w,21,4,4,4,3,4,2,3,3,3,3,4,4,4,3,3,2,1,2,1,2,1,1,4,1,1,1,1,1,2,2,2,2,1,1,2,mittel,2,4,3,3,3,87
19,1,w,25,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,2,4,2,4,1,1,2,mittel,4,4,3,1,1,52
20,1,w,20,4,3,4,4,3,2,3,3,3,3,3,2,2,3,2,4,2,4,2,4,4,1,4,3,2,2,2,1,3,1,3,1,2,2,2,hoch,2,2,2,4,4,96
21,1,m,21,3,1,3,2,1,1,3,4,2,2,1,1,1,2,3,3,2,4,2,2,2,1,3,2,1,1,1,1,4,2,1,1,2,2,3,hoch,3,3,1,3,4,73
24,1,m,19,3,1,3,3,3,1,1,2,3,3,1,3,2,3,2,4,3,2,3,2,3,3,2,2,4,4,3,3,1,1,1,4,1,1,1,hoch,2,3,4,4,1,85
25,1,m,25,3,1,2,2,1,3,1,2,2,2,3,1,2,2,2,3,2,2,2,1,3,2,4,2,2,1,1,1,1,1,1,2,3,1,2,niedrig,3,3,4,4,3,75
26,1,w,19,3,3,3,2,2,1,3,2,3,2,2,2,2,2,2,2,1,1,2,2,3,1,3,1,1,3,1,3,3,2,2,3,2,2,2,hoch,3,4,2,3,2,77
29,1,w,21,3,1,3,1,1,1,3,3,1,1,1,1,1,2,1,3,1,3,1,2,4,1,3,3,1,1,1,1,4,2,3,3,3,3,3,mittel,4,2,1,3,2,69
30,1,m,22,2,1,3,3,1,1,3,2,1,3,3,1,2,2,1,2,1,1,2,3,3,2,4,3,1,1,1,2,1,3,2,1,2,2,2,mittel,2,2,4,2,4,71
31,1,w,21,3,2,3,3,4,2,2,3,1,3,4,3,2,2,3,3,1,3,3,3,4,3,4,2,2,2,2,2,2,1,3,2,3,2,3,niedrig,2,3,3,4,3,95
32,1,w,19,3,1,3,3,1,2,1,3,3,1,2,1,1,3,2,2,1,3,2,3,1,1,4,3,3,4,1,3,3,2,1,3,1,1,1,mittel,4,2,2,3,2,74
33,1,w,24,3,3,3,3,2,2,2,2,2,1,3,3,2,2,1,1,1,1,1,1,1,1,1,4,2,2,1,2,3,1,1,1,1,1,1,mittel,4,1,2,4,4,67
34,1,w,20,4,4,4,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,1,2,2,3,4,4,hoch,1,1,2,4,3,121
35,1,w,22,2,1,2,3,3,1,1,1,2,3,1,3,1,2,2,1,1,2,1,1,2,1,2,4,1,1,1,1,4,1,1,1,1,1,2,mittel,2,1,1,4,4,57
36,1,w,21,4,3,3,3,3,4,3,4,3,3,4,3,3,4,4,4,4,4,4,4,3,3,4,3,2,1,2,1,3,2,4,3,3,3,4,hoch,2,2,2,3,2,109
37,1,m,23,2,1,3,3,1,1,2,3,1,1,3,1,1,2,3,2,3,3,2,2,3,2,3,2,1,3,1,1,2,2,2,2,4,2,2,niedrig,4,3,3,3,3,79
38,1,w,23,3,3,4,3,4,2,2,3,3,3,3,4,3,1,2,2,3,2,2,2,3,2,3,2,2,2,2,1,2,3,2,3,1,2,3,niedrig,2,3,3,2,2,86
